,price,bathrooms,sqft_living,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year_sold,q_99,q_95
0,221900.0,1.0,1180,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,2014,1,1
1,538000.0,2.25,2570,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2014,1,1
2,180000.0,1.0,770,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,2015,1,1
3,604000.0,3.0,1960,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2014,1,1
4,510000.0,2.0,1680,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,2015,1,1
5,1225000.0,4.5,5420,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,2014,1,0
6,257500.0,2.25,1715,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,2014,1,1
7,291850.0,1.5,1060,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,2015,1,1
8,229500.0,1.0,1780,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,2015,1,1
9,323000.0,2.5,1890,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,2015,1,1
10,662500.0,2.5,3560,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,2015,1,1
11,468000.0,1.0,1160,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,2014,1,1
12,310000.0,1.0,1430,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,2014,1,1
13,400000.0,1.75,1370,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,2014,1,1
14,530000.0,2.0,1810,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,2015,1,1
15,650000.0,3.0,2950,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,2015,1,1
16,395000.0,2.0,1890,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,2014,1,1
17,485000.0,1.0,1600,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,2014,1,1
18,189000.0,1.0,1200,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,2014,1,1
19,230000.0,1.0,1250,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,2015,1,1
20,385000.0,1.75,1620,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,2014,1,1
21,2000000.0,2.75,3050,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,2014,0,0
22,285000.0,2.5,2270,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,2014,1,1
23,252700.0,1.5,1070,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,2014,1,1
24,329000.0,2.25,2450,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,2014,1,1
25,233000.0,2.0,1710,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2014,1,1
26,937000.0,1.75,2450,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,2014,1,1
27,667000.0,1.0,1400,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,2014,1,1
28,438000.0,1.75,1520,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,2014,1,1
29,719000.0,2.5,2570,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,2015,1,1
30,580500.0,2.5,2320,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,2014,1,1
31,280000.0,1.5,1190,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,2014,1,1
32,687500.0,1.75,2330,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,2014,1,1
33,535000.0,1.0,1090,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,2014,1,1
34,322500.0,2.75,2060,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,2014,1,1
35,696000.0,2.5,2300,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,2014,1,1
36,550000.0,1.0,1660,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,2014,1,1
37,640000.0,2.0,2360,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,2014,1,1
38,240000.0,1.0,1220,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,2015,1,1
39,605000.0,2.5,2620,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,2014,1,1
40,625000.0,2.5,2570,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,2014,1,1
41,775000.0,2.25,4220,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,2014,1,1
42,861990.0,2.75,3595,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,2014,1,1
43,685000.0,1.0,1570,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,2014,1,1
44,309000.0,1.0,1280,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,2014,1,1
45,488000.0,2.5,3160,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,2014,1,1
46,210490.0,1.0,990,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,2015,1,1
47,785000.0,2.5,2290,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,2014,1,1
48,450000.0,1.75,1250,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,2015,1,1
49,1350000.0,2.5,2753,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,2015,1,0
50,228000.0,1.0,1190,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,2014,1,1
51,345000.0,2.5,3150,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2015,1,1
52,600000.0,1.75,1410,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,2014,1,1
53,585000.0,1.75,1980,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,2015,1,1
54,920000.0,2.25,2730,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,2015,1,1
55,885000.0,2.5,2830,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,2014,1,1
56,292500.0,2.5,2250,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,2014,1,1
57,301000.0,2.5,2420,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,2015,1,1
58,951000.0,3.25,3250,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,2014,1,1
59,430000.0,3.0,1850,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,2015,1,1
60,650000.0,2.25,2150,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,2014,1,1
61,289000.0,1.75,1260,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,2014,1,1
62,505000.0,1.75,2519,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,2014,1,1
63,549000.0,1.75,1540,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,2014,1,1
64,425000.0,2.25,1660,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,2014,1,1
65,317625.0,2.75,2770,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,2014,1,1
66,975000.0,2.5,2720,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,2014,1,1
67,287000.0,2.5,2240,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,2014,1,1
68,204000.0,1.0,1000,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,2014,1,1
69,1325000.0,2.25,3200,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,2014,1,0
70,1040000.0,3.25,4770,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,2014,1,1
71,325000.0,2.0,1260,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,2015,1,1
72,571000.0,2.0,2750,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,2014,1,1
73,360000.0,2.5,2380,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,2014,1,1
74,349000.0,1.75,1790,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,2015,1,1
75,832500.0,4.0,3430,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,2014,1,1
76,380000.0,1.75,1760,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2014,1,1
77,480000.0,1.0,1040,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,2015,1,1
78,410000.0,1.0,1410,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,2014,1,1
79,720000.0,2.5,3450,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,2015,1,1
80,390000.0,2.5,2350,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,2014,1,1
81,360000.0,2.5,1900,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,2014,1,1
82,355000.0,1.0,2020,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,2014,1,1
83,356000.0,1.5,1680,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,2015,1,1
84,315000.0,1.0,960,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,2014,1,1
85,940000.0,1.5,2140,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,2014,1,1
86,305000.0,2.25,2660,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2014,1,1
87,461000.0,3.25,2770,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,2014,1,1
88,215000.0,2.25,1610,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,2014,1,1
89,335000.0,1.75,1030,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,2014,1,1
90,243500.0,2.5,1980,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,2014,1,1
91,1099880.0,2.75,3520,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,2015,1,1
92,153000.0,1.0,1200,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,2015,1,1
93,430000.0,1.5,1580,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,1,1
94,700000.0,1.5,1580,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,1,1
95,905000.0,2.5,3300,0,0,3,7,2390,910,1946,1991,98040,47.5873,-122.249,1950,6045,2014,1,1
96,247500.0,1.75,1960,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,2015,1,1
