,price,bathrooms,sqft_living,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,lat,long,sqft_living15,sqft_lot15,q_99,q_95,Age_at_Sale,Year_since_Renovation,was_renovated
0,221900.0,1.0,1180,0,0,3,7,1180,0,98178,47.5112,-122.257,1340,5650,1,1,59,59,False
1,538000.0,2.25,2570,0,0,3,7,2170,400,98125,47.721,-122.319,1690,7639,1,1,63,23,True
2,180000.0,1.0,770,0,0,3,6,770,0,98028,47.7379,-122.233,2720,8062,1,1,82,82,False
3,604000.0,3.0,1960,0,0,5,7,1050,910,98136,47.5208,-122.393,1360,5000,1,1,49,49,False
4,510000.0,2.0,1680,0,0,3,8,1680,0,98074,47.6168,-122.045,1800,7503,1,1,28,28,False
5,1225000.0,4.5,5420,0,0,3,11,3890,1530,98053,47.6561,-122.005,4760,101930,1,0,13,13,False
6,257500.0,2.25,1715,0,0,3,7,1715,0,98003,47.3097,-122.327,2238,6819,1,1,19,19,False
7,291850.0,1.5,1060,0,0,3,7,1060,0,98198,47.4095,-122.315,1650,9711,1,1,52,52,False
8,229500.0,1.0,1780,0,0,3,7,1050,730,98146,47.5123,-122.337,1780,8113,1,1,55,55,False
9,323000.0,2.5,1890,0,0,3,7,1890,0,98038,47.3684,-122.031,2390,7570,1,1,12,12,False
10,662500.0,2.5,3560,0,0,3,8,1860,1700,98007,47.6007,-122.145,2210,8925,1,1,50,50,False
11,468000.0,1.0,1160,0,0,4,7,860,300,98115,47.69,-122.292,1330,6000,1,1,72,72,False
12,310000.0,1.0,1430,0,0,4,7,1430,0,98028,47.7558,-122.229,1780,12697,1,1,87,87,False
13,400000.0,1.75,1370,0,0,4,7,1370,0,98074,47.6127,-122.045,1370,10208,1,1,37,37,False
14,530000.0,2.0,1810,0,0,3,7,1810,0,98107,47.67,-122.394,1360,4850,1,1,115,115,False
15,650000.0,3.0,2950,0,3,3,9,1980,970,98126,47.5714,-122.375,2140,4000,1,1,36,36,False
16,395000.0,2.0,1890,0,0,3,7,1890,0,98019,47.7277,-121.962,1890,14018,1,1,20,20,False
17,485000.0,1.0,1600,0,0,4,7,1600,0,98103,47.6648,-122.343,1610,4300,1,1,98,98,False
18,189000.0,1.0,1200,0,0,4,7,1200,0,98002,47.3089,-122.21,1060,5095,1,1,93,93,False
19,230000.0,1.0,1250,0,0,4,7,1250,0,98003,47.3343,-122.306,1280,8850,1,1,46,46,False
20,385000.0,1.75,1620,0,0,4,7,860,760,98133,47.7025,-122.341,1400,4980,1,1,67,67,False
21,2000000.0,2.75,3050,0,4,3,9,2330,720,98040,47.5316,-122.233,4110,20336,0,0,46,46,False
22,285000.0,2.5,2270,0,0,3,8,2270,0,98092,47.3266,-122.169,2240,7005,1,1,19,19,False
23,252700.0,1.5,1070,0,0,3,7,1070,0,98030,47.3533,-122.166,1220,8386,1,1,29,29,False
24,329000.0,2.25,2450,0,0,4,8,2450,0,98030,47.3739,-122.172,2200,6865,1,1,29,29,False
25,233000.0,2.0,1710,0,0,5,6,1710,0,98002,47.3048,-122.218,1030,4705,1,1,73,73,False
26,937000.0,1.75,2450,0,0,3,8,1750,700,98119,47.6386,-122.36,1760,3573,1,1,99,99,False
27,667000.0,1.0,1400,0,0,5,8,1400,0,98112,47.6221,-122.314,1860,3861,1,1,105,105,False
28,438000.0,1.75,1520,0,0,3,7,790,730,98115,47.695,-122.304,1520,6235,1,1,66,66,False
29,719000.0,2.5,2570,0,0,3,8,2570,0,98052,47.7073,-122.11,2630,6026,1,1,10,10,False
30,580500.0,2.5,2320,0,0,3,8,2320,0,98027,47.5391,-122.07,2580,3980,1,1,11,11,False
31,280000.0,1.5,1190,0,0,3,7,1190,0,98133,47.7274,-122.357,1390,1756,1,1,9,9,False
32,687500.0,1.75,2330,0,0,4,7,1510,820,98117,47.6823,-122.368,1460,5000,1,1,85,85,False
33,535000.0,1.0,1090,0,0,4,8,1090,0,98117,47.6889,-122.375,1570,5080,1,1,85,85,False
34,322500.0,2.75,2060,0,0,3,7,1280,780,98058,47.4276,-122.157,2020,8720,1,1,33,33,False
35,696000.0,2.5,2300,0,0,3,8,1510,790,98115,47.6827,-122.31,1590,3264,1,1,84,12,True
36,550000.0,1.0,1660,0,0,1,5,930,730,98052,47.6621,-122.132,2160,11467,1,1,81,81,False
37,640000.0,2.0,2360,0,0,4,8,2360,0,98107,47.6702,-122.362,1730,4700,1,1,110,110,False
38,240000.0,1.0,1220,0,0,2,7,890,330,98001,47.3341,-122.282,1290,7800,1,1,46,46,False
39,605000.0,2.5,2620,0,0,3,8,2620,0,98056,47.5301,-122.18,2620,11884,1,1,18,18,False
40,625000.0,2.5,2570,0,0,3,9,2570,0,98074,47.6145,-122.027,2470,5669,1,1,14,14,False
41,775000.0,2.25,4220,0,0,3,8,2600,1620,98166,47.445,-122.347,2410,30617,1,1,30,30,False
